date,browser,users_count
2025-09-11,Edge 131.0.0,11
2025-09-15,Chrome 126.0.0,3
2025-09-15,Chrome 120.0.0,2
2025-09-12,Chrome 138.0.0,226
2025-09-12,Edge 134.0.0,11
2025-09-16,Chrome 96.0.4664,1
2025-09-18,Chrome Mobile WebView 140.0.7339,2
2025-09-10,Edge 102.0.1245,1
2025-09-12,Chrome 133.0.0,18
2025-09-10,Opera 120.0.0,1
2025-09-18,Edge 131.0.0,6
2025-09-13,Chrome 132.0.0,1
2025-09-12,Chrome 127.0.0,1
2025-09-15,Chrome 109.0.0,1
2025-09-15,Edge 138.0.0,137
2025-09-18,Chrome 121.0.0,2
2025-09-18,Firefox 128.0,3
2025-09-11,Safari 16.5,1
2025-09-11,Chrome 136.0.0,3
2025-09-11,Samsung Internet 28.0,1
2025-09-18,Chrome 129.0.0,1
2025-09-14,Chrome 138.0.0,16
2025-09-11,Chrome 114.0.0,1
2025-09-17,Chrome 135.0.0,2
2025-09-18,Edge 135.0.0,11
2025-09-10,Chrome 121.0.0,1
2025-09-14,Chrome 137.0.0,1
2025-09-13,Edge 137.0.0,2
2025-09-10,Firefox 142.0,10
2025-09-10,Chrome 137.0.0,10
2025-09-18,Firefox 142.0,1
2025-09-15,Chrome 131.0.0,9
2025-09-10,Edge 129.0.0,4
2025-09-17,Chrome 140.0.0,365
2025-09-15,Edge 135.0.0,13
2025-09-13,Edge 140.0.0,35
2025-09-18,Edge 136.0.0,26
2025-09-17,Edge 109.0.1518,2
2025-09-18,Edge 129.0.0,2
2025-09-16,Edge Mobile 139.0.3405,1
2025-09-10,Edge 131.0.0,11
2025-09-17,Chrome 129.0.0,1
2025-09-10,Chrome Mobile WebView 139.0.7258,2
2025-09-13,Edge 136.0.0,1
2025-09-12,Chrome 137.0.0,7
2025-09-11,Chrome Mobile 140.0.0,1
2025-09-18,Chrome 120.0.0,3
2025-09-15,Chrome 132.0.0,3
2025-09-11,Edge 137.0.0,25
2025-09-17,Edge 134.0.0,17
2025-09-14,Edge 109.0.1518,1
2025-09-18,Chrome 140.0.0,453
2025-09-11,Chrome 140.0.0,281
2025-09-15,Edge Mobile 140.0.3485,1
2025-09-18,Edge 140.0.0,1927
2025-09-18,Chrome 131.0.0,11
2025-09-13,Edge 138.0.0,1
2025-09-15,Edge 132.0.0,4
2025-09-18,Chrome 136.0.0,6
2025-09-16,Edge 131.0.0,7
2025-09-15,Chrome 122.0.0,1
2025-09-14,Mobile Safari 18.6,2
2025-09-18,Chrome 132.0.0,1
2025-09-11,Chrome 120.0.0,2
2025-09-18,Firefox 140.0,2
2025-09-10,Chrome 132.0.0,1
2025-09-17,Edge 140.0.0,1688
2025-09-17,Edge 139.0.0,229
2025-09-18,Chrome 138.0.0,295
2025-09-17,Edge 122.0.0,2
2025-09-10,Safari 18.6,5
2025-09-10,Edge Mobile 139.0.3405,1
2025-09-17,Safari 18.6,4
2025-09-15,Firefox 134.0,1
2025-09-17,Chrome 122.0.0,1
2025-09-17,Firefox 142.0,11
2025-09-15,Safari 16.4,1
2025-09-12,Chrome 136.0.0,4
2025-09-14,Edge 138.0.0,2
2025-09-15,Edge Mobile 139.0.0,1
2025-09-18,Safari 26.0,3
2025-09-16,Chrome 135.0.0,6
2025-09-17,Edge Mobile 140.0.3485,1
2025-09-11,Edge 138.0.0,144
2025-09-17,Firefox 143.0,1
2025-09-10,Chrome 131.0.0,5
2025-09-11,Edge 129.0.0,2
2025-09-10,Chrome 136.0.0,3
2025-09-10,Edge 122.0.0,1
2025-09-11,Edge 132.0.0,5
2025-09-16,Chrome 132.0.0,6
2025-09-17,Edge 136.0.0,15
2025-09-18,Edge 109.0.1518,5
2025-09-15,Firefox 142.0,8
2025-09-10,Chrome Mobile 140.0.0,1
2025-09-13,Chrome 114.0.0,1
2025-09-13,Edge 139.0.0,5
2025-09-17,Edge 137.0.0,23
2025-09-13,Chrome 140.0.0,16
2025-09-10,Chrome 138.0.0,292
2025-09-16,Chrome 136.0.0,7
2025-09-18,Firefox 134.0,1
2025-09-18,Chrome Mobile WebView 139.0.7258,1
2025-09-16,Chrome 126.0.0,1
2025-09-16,Edge 139.0.0,300
2025-09-10,Firefox 128.0,8
2025-09-18,Safari 18.5,1
2025-09-12,Chrome 140.0.0,201
2025-09-12,Chrome Mobile WebView 140.0.7339,3
2025-09-18,Chrome 134.0.0,28
2025-09-12,Edge 140.0.0,1042
2025-09-15,Edge 140.0.0,1881
2025-09-16,Edge 134.0.0,14
2025-09-12,Chrome 139.0.0,156
2025-09-12,Edge 132.0.0,4
2025-09-15,Edge 131.0.0,5
2025-09-12,Safari 26.0,1
2025-09-13,Chrome 138.0.0,9
2025-09-16,Safari 18.6,5
2025-09-16,Chrome 129.0.0,2
2025-09-17,Firefox 128.0,6
2025-09-11,Edge 134.0.0,20
2025-09-15,Chrome 127.0.0,1
2025-09-12,Chrome 131.0.0,4
2025-09-12,Mobile Safari 18.6,1
2025-09-18,Mobile Safari 26.0,1
2025-09-18,Chrome 135.0.0,7
2025-09-12,Chrome 129.0.0,1
2025-09-13,Opera 120.0.0,1
2025-09-12,Edge 109.0.1518,4
2025-09-16,Chrome 138.0.0,362
2025-09-15,Mobile Safari 18.6,1
2025-09-12,Firefox 115.0,1
2025-09-16,Edge 140.0.0,1962
2025-09-11,Edge 139.0.0,394
2025-09-16,Edge 138.0.0,135
2025-09-17,Chrome 134.0.0,31
2025-09-10,Edge 135.0.0,11
2025-09-10,Edge 136.0.0,13
2025-09-18,Safari 18.6,6
2025-09-17,Samsung Internet 28.0,1
2025-09-16,Chrome 106.0.0,1
2025-09-17,Edge 135.0.0,6
2025-09-16,Edge 136.0.0,27
2025-09-18,Safari 18.1.1,1
2025-09-12,Chrome 132.0.0,1
2025-09-16,Chrome 133.0.0,28
2025-09-12,Chrome 134.0.0,21
2025-09-11,Edge Mobile 140.0.3485,1
2025-09-14,Edge Mobile 136.0.0,1
2025-09-12,Safari 18.6,5
2025-09-11,Firefox 142.0,14
2025-09-11,Firefox 128.0,6
2025-09-10,Chrome Mobile 139.0.0,1
2025-09-16,Chrome 131.0.0,7
2025-09-10,Chrome 96.0.4664,1
2025-09-16,Edge Mobile 140.0.3485,2
2025-09-15,Edge 129.0.0,1
2025-09-18,Firefox 143.0,5
2025-09-15,Chrome 133.0.0,29
2025-09-14,Chrome 126.0.0,1
2025-09-15,Chrome 114.0.0,1
2025-09-16,Safari 17.14,1
2025-09-15,Safari 17.6,1
2025-09-17,Chrome 138.0.0,318
2025-09-11,Chrome Mobile WebView 139.0.7258,3
2025-09-11,Edge 122.0.0,1
2025-09-15,Edge 136.0.0,27
2025-09-12,Edge 138.0.0,98
2025-09-11,Chrome 132.0.0,2
2025-09-18,Edge Mobile 140.0.3485,1
2025-09-15,Safari 18.6,7
2025-09-12,Firefox 140.0,1
2025-09-10,Chrome 114.0.0,1
2025-09-10,Safari 26.0,1
2025-09-10,Edge 132.0.0,4
2025-09-16,Safari 18.1.1,1
2025-09-17,Firefox 140.0,2
2025-09-13,Chrome 139.0.0,9
2025-09-17,Chrome 139.0.0,163
2025-09-13,Chrome Mobile WebView 139.0.7258,1
2025-09-12,Edge 136.0.0,9
2025-09-16,Chrome 120.0.0,1
2025-09-16,Chrome 137.0.0,12
2025-09-12,Chrome Mobile WebView 139.0.7258,2
2025-09-11,Chrome 122.0.0,1
2025-09-18,Edge 138.0.0,125
2025-09-18,Chrome 133.0.0,20
2025-09-18,Edge 139.0.0,272
2025-09-16,Chrome 109.0.0,1
2025-09-10,Chrome 140.0.0,195
2025-09-11,Chrome 139.0.0,290
2025-09-16,Chrome 123.0.0,1
2025-09-18,Chrome 106.0.0,1
2025-09-15,Safari 18.5,1
2025-09-10,Chrome 122.0.0,1
2025-09-16,Chrome Mobile WebView 140.0.7339,3
2025-09-16,Edge Mobile 139.0.0,1
2025-09-15,Opera 120.0.0,1
2025-09-11,Chrome 121.0.0,1
2025-09-14,Chrome 139.0.0,5
2025-09-12,Firefox 128.0,6
2025-09-15,Edge 139.0.0,347
2025-09-17,Chrome 132.0.0,2
2025-09-18,Edge 137.0.0,18
2025-09-10,Edge 134.0.0,15
2025-09-12,Edge 137.0.0,16
2025-09-16,Firefox 128.0,5
2025-09-14,Chrome 132.0.0,1
2025-09-15,Chrome 139.0.0,271
2025-09-10,Chrome 135.0.0,1
2025-09-16,Edge 109.0.1518,4
2025-09-17,Edge 138.0.0,106
2025-09-14,Edge 134.0.0,1
2025-09-12,Safari 17.14,1
2025-09-10,Edge 109.0.1518,3
2025-09-12,Edge 135.0.0,10
2025-09-10,Mobile Safari 18.6,1
2025-09-12,Edge Mobile 140.0.3485,1
2025-09-16,Chrome 140.0.0,416
2025-09-16,Firefox 140.0,4
2025-09-18,Chrome Mobile 140.0.0,1
2025-09-15,Chrome 135.0.0,9
2025-09-15,Firefox 140.0,2
2025-09-10,Chrome 139.0.0,327
2025-09-17,Chrome Mobile 140.0.0,1
2025-09-17,Safari 17.6,1
2025-09-17,Chrome 96.0.4664,1
2025-09-14,Edge 140.0.0,63
2025-09-10,Chrome 133.0.0,13
2025-09-10,Firefox 134.0,1
2025-09-15,Edge 109.0.1518,4
2025-09-12,Chrome 109.0.0,2
2025-09-10,Edge 139.0.0,399
2025-09-16,Mobile Safari 18.6,1
2025-09-18,Chrome 139.0.0,174
2025-09-17,Safari 13.4,2
2025-09-14,Safari 13.4,1
2025-09-13,Edge 135.0.0,1
2025-09-11,Chrome 137.0.0,7
2025-09-17,Firefox 134.0,1
2025-09-10,Firefox 140.0,1
2025-09-11,Safari 18.6,6
2025-09-15,Chrome 134.0.0,38
2025-09-16,Edge 132.0.0,7
2025-09-11,Edge 109.0.1518,1
2025-09-18,Mobile Safari 18.6,2
2025-09-12,Edge 139.0.0,217
2025-09-11,Chrome 138.0.0,356
2025-09-11,Edge 102.0.1245,2
2025-09-17,Firefox 115.0,1
2025-09-16,Firefox 134.0,2
2025-09-11,Chrome 133.0.0,20
2025-09-11,Edge 135.0.0,10
2025-09-17,Edge 132.0.0,2
2025-09-12,Chrome 135.0.0,6
2025-09-16,Chrome 134.0.0,31
2025-09-11,Edge Mobile 139.0.3405,2
2025-09-15,Firefox 141.0,1
2025-09-15,Edge 134.0.0,21
2025-09-16,Chrome Mobile 140.0.0,1
2025-09-18,Chrome 127.0.0,4
2025-09-17,Safari 26.0,1
2025-09-17,Chrome 131.0.0,9
2025-09-12,Chrome Mobile iOS 139.0.7258,1
2025-09-12,Firefox 142.0,7
2025-09-18,Chrome 126.0.0,2
2025-09-18,Chrome 114.0.0,1
2025-09-10,Edge 137.0.0,19
2025-09-11,Edge 140.0.0,1699
2025-09-16,Edge 135.0.0,7
2025-09-17,Chrome 133.0.0,21
2025-09-14,Chrome 133.0.0,2
2025-09-16,Edge 129.0.0,6
2025-09-12,Edge 129.0.0,2
2025-09-15,Chrome 138.0.0,359
2025-09-17,Chrome Mobile iOS 139.0.7258,1
2025-09-16,Firefox 142.0,14
2025-09-16,Edge 137.0.0,26
2025-09-11,Edge 136.0.0,23
2025-09-12,Safari 17.5,1
2025-09-16,Chrome 139.0.0,233
2025-09-17,Chrome Mobile WebView 140.0.7339,2
2025-09-10,Chrome 129.0.0,1
2025-09-11,Firefox 115.0,1
2025-09-18,Edge 132.0.0,3
2025-09-11,Chrome 134.0.0,27
2025-09-17,Edge 129.0.0,3
2025-09-10,Edge Mobile 140.0.3485,2
2025-09-15,Chrome Mobile WebView 139.0.7258,3
2025-09-15,Chrome 129.0.0,1
2025-09-10,Edge 140.0.0,1392
2025-09-18,Edge 134.0.0,16
2025-09-15,Chrome 136.0.0,4
2025-09-11,Chrome 131.0.0,4
2025-09-15,Edge 137.0.0,34
2025-09-17,Edge 131.0.0,5
2025-09-17,Chrome 137.0.0,9
2025-09-15,Chrome 140.0.0,370
2025-09-13,Chrome 129.0.0,1
2025-09-14,Chrome 140.0.0,20
2025-09-15,Firefox 128.0,4
2025-09-10,Edge 138.0.0,152
2025-09-14,Edge 139.0.0,16
2025-09-17,Chrome 136.0.0,2
2025-09-11,Chrome 129.0.0,2
2025-09-15,Chrome 137.0.0,10
2025-09-14,Chrome 129.0.0,1
2025-09-11,Chrome 135.0.0,11
2025-09-12,Edge 122.0.0,1
2025-09-17,Chrome 106.0.0,1
2025-09-12,Chrome Mobile 140.0.0,1
2025-09-10,Chrome 120.0.0,2
2025-09-17,Mobile Safari 26.0,1
2025-09-10,Chrome 134.0.0,21
2025-09-12,Edge 131.0.0,10
2025-09-16,Firefox 141.0,1
2025-09-18,Chrome 137.0.0,9
